Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
298;21101023180;"International Journal of Advanced Technology and Engineering Exploration";journal;"23945443, 23947454";"Accent Social and Welfare Society";No;No;0,245;Q4;15;101;338;5303;527;338;1,53;52,50;35,53;0;42;India;Asiatic Region;"Accent Social and Welfare Society";"2019-2025";"Civil and Structural Engineering (Q3); Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4)";"Computer Science; Engineering"
299;18056;"Jiqiren/Robot";journal;"10020446";"Chinese Academy of Sciences";No;No;0,242;Q4;33;63;198;2537;327;198;1,74;40,27;29,55;0;8;China;Asiatic Region;"Chinese Academy of Sciences";"1998, 2001-2025";"Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Applied Mathematics (Q4); Artificial Intelligence (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
300;15109;"IEICE Transactions on Information and Systems";journal;"17451361, 09168532";"Maruzen Co., Ltd/Maruzen Kabushikikaisha";No;No;0,240;Q4;58;194;748;4842;687;713;0,96;24,96;25,61;0;12;Japan;Asiatic Region;"Maruzen Co., Ltd/Maruzen Kabushikikaisha";"1993-2025";"Computer Vision and Pattern Recognition (Q3); Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Hardware and Architecture (Q4); Software (Q4)";"Computer Science; Engineering"
301;21100217639;"Proceedings of the IEEE RAS and EMBS International Conference on Biomedical Robotics and Biomechatronics";conference and proceedings;"21551774";"IEEE Computer Society";No;No;0,240;-;37;272;130;6971;127;128;0,98;25,63;29,19;0;62;United States;Northern America;"IEEE Computer Society";"2012, 2014, 2016, 2018, 2020, 2022, 2024";"Artificial Intelligence; Biomedical Engineering; Mechanical Engineering";"Computer Science; Engineering"
302;21101090643;"Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS";conference and proceedings;"23340754, 23340762";"Florida Online Journals, University of Florida";Yes;Yes;0,237;-;10;131;381;2601;314;375;0,87;19,85;29,73;0;18;United States;Northern America;"Florida Online Journals, University of Florida";"2021-2024";"Artificial Intelligence; Software";"Computer Science"
303;21101041536;"SAE International Journal of Connected and Automated Vehicles";journal;"25740741, 2574075X";"SAE International";No;No;0,232;Q4;10;27;111;928;137;104;1,12;34,37;29,27;0;9;United States;Northern America;"SAE International";"2019-2024";"Automotive Engineering (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
304;17700156773;"Synthesis Lectures on Artificial Intelligence and Machine Learning";book series;"19394616, 19394608";"Springer International Publishing";No;No;0,232;Q4;30;1;46;356;19;2;0,23;356,00;0,00;0;0;United States;Northern America;"Springer International Publishing";"2009-2024";"Artificial Intelligence (Q4)";"Computer Science"
305;21100890383;"International Journal of Computing and Digital Systems";journal;"2210142X";"University of Bahrain";Yes;Yes;0,231;Q4;19;250;547;11122;809;547;1,47;44,49;35,26;0;70;Bahrain;Middle East;"University of Bahrain";"2012-2025";"Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Information Systems (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Management of Technology and Innovation (Q4)";"Business, Management and Accounting; Computer Science"
306;25482;"International Journal of Robotics and Automation";journal;"19257090, 08268185";"Acta Press";No;No;0,229;Q4;30;52;189;1550;146;186;0,91;29,81;29,09;0;14;Canada;Northern America;"Acta Press";"1995-2025";"Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
307;21101252471;"Italian Journal of Computational Linguistics";journal;"24994553";"Accademia University Press";Yes;Yes;0,229;Q4;4;5;29;215;34;28;1,06;43,00;23,08;0;1;Italy;Western Europe;"Accademia University Press";"2020-2024";"Linguistics and Language (Q2); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Human-Computer Interaction (Q4)";"Computer Science; Social Sciences"
308;21101132923;"Internet Technology Letters";journal;"24761508";"John Wiley and Sons Inc";No;No;0,226;Q4;25;158;204;2449;282;128;1,58;15,50;34,70;1;37;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2018-2025";"Computer Networks and Communications (Q3); Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4)";"Computer Science"
309;21100864387;"International Journal of Swarm Intelligence Research";journal;"19479263, 19479271";"IGI Global Publishing";No;No;0,224;Q4;13;17;108;703;130;108;1,36;41,35;30,36;0;4;United States;Northern America;"IGI Global Publishing";"2016-2024";"Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4)";"Computer Science"
310;21101085281;"Art, Science, and Engineering of Programming";journal;"24737321";"AOSA Inc.";No;No;0,223;Q4;11;4;54;248;42;54;0,79;62,00;0,00;0;0;United States;Northern America;"AOSA Inc.";"2017-2024";"Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Modeling and Simulation (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
311;21101021717;"Journal of Image and Graphics";journal;"10068961";"";No;No;0,222;Q4;21;219;695;11405;1229;693;1,72;52,08;34,95;0;41;China;Asiatic Region;"";"2019-2025";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4)";"Computer Science"
312;21101186203;"International Journal of Intelligent Engineering Informatics";journal;"17588715, 17588723";"Inderscience Publishers";No;No;0,221;Q4;6;25;39;1415;99;39;2,54;56,60;28,57;0;5;United Kingdom;Western Europe;"Inderscience Publishers";"2022-2025";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4); Signal Processing (Q4); Software (Q4)";"Computer Science"
313;21100826383;"Indonesian Journal of Electrical Engineering and Informatics";journal;"20893272";"Institute of Advanced Engineering and Science (IAES)";No;No;0,220;Q4;16;84;250;2916;312;250;1,39;34,71;26,79;0;23;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science (IAES)";"2017-2024";"Computer Networks and Communications (Q3); Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Hardware and Architecture (Q4); Information Systems (Q4)";"Computer Science; Engineering; Mathematics"
314;21100984136;"Proceedings of IEEE International Conference on Signal Processing,Computing and Control";conference and proceedings;"26438615";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,220;-;17;0;156;0;333;155;0,00;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019, 2021";"Artificial Intelligence; Computer Science Applications; Control and Optimization; Signal Processing";"Computer Science; Mathematics"
315;21101056435;"Proceedings of the International Conference Computational Linguistics in Bulgaria";conference and proceedings;"23675578, 23675675";"Institute for Bulgarian Language";No;No;0,220;-;2;39;27;791;13;26;0,48;20,28;63,41;0;2;Bulgaria;Eastern Europe;"Institute for Bulgarian Language";"2020, 2022, 2024";"Artificial Intelligence; Linguistics and Language";"Computer Science; Social Sciences"
316;21101092539;"Advances in Distributed Computing and Artificial Intelligence Journal";journal;"22552863";"University of Salamanca";Yes;Yes;0,219;Q4;9;28;65;1025;88;65;1,28;36,61;24,66;0;7;Spain;Western Europe;"University of Salamanca";"2019-2024";"Computer Networks and Communications (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
317;21101176022;"Journal of Applied Data Sciences";journal;"27236471";"Bright Publisher";No;No;0,219;Q4;10;167;85;5580;162;85;1,66;33,41;40,19;0;85;Indonesia;Asiatic Region;"Bright Publisher";"2020-2025";"Computer Science (miscellaneous) (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science"
318;21101038721;"Data Analysis and Knowledge Discovery";journal;"20963467";"Chinese Academy of Sciences";No;No;0,218;Q4;12;153;457;5883;447;457;0,99;38,45;41,93;0;15;China;Asiatic Region;"Chinese Academy of Sciences";"2019-2024";"Library and Information Sciences (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Information Systems (Q4)";"Computer Science; Social Sciences"
319;17700155820;"WSEAS Transactions on Systems and Control";journal;"22242856, 19918763";"World Scientific and Engineering Academy and Society";Yes;No;0,215;Q4;22;52;203;1255;180;203;0,82;24,13;31,30;0;15;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2008-2025";"Artificial Intelligence (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Mathematics (miscellaneous) (Q4)";"Computer Science; Engineering; Mathematics"
320;21100313909;"Iranian Conference on Machine Vision and Image Processing, MVIP";conference and proceedings;"21666776, 21666784";"IEEE Computer Society";No;No;0,214;-;16;43;49;968;63;48;1,29;22,51;29,59;0;4;United States;Northern America;"IEEE Computer Society";"2013, 2016-2017, 2020, 2022, 2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Software";"Computer Science"
321;21101186246;"IN4PL - Proceedings of the International Conference on Innovative Intelligent Industrial Production and Logistics";conference and proceedings;"21849285";"Science and Technology Publications, Lda";No;No;0,212;-;6;0;60;0;58;57;0,88;0,00;0,00;0;0;Portugal;Western Europe;"Science and Technology Publications, Lda";"2020-2022";"Artificial Intelligence; Computational Theory and Mathematics; Information Systems";"Computer Science"
322;21101044836;"Journal of Computer Science and Technology (Argentina)";journal;"16666046, 16666038";"Facultad de Informatica, Universidad Nacional de La Plata";Yes;Yes;0,210;Q4;6;18;51;576;59;48;1,03;32,00;22,22;0;4;Argentina;Latin America;"Facultad de Informatica, Universidad Nacional de La Plata";"2019-2024";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Hardware and Architecture (Q4); Software (Q4)";"Computer Science"
323;21100879718;"IEEE Conference on Evolving and Adaptive Intelligent Systems";conference and proceedings;"23304863, 24734691";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,210;-;13;55;21;1503;27;19;1,29;27,33;28,98;0;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017, 2020, 2022, 2024";"Artificial Intelligence; Computer Science Applications";"Computer Science"
324;21100199742;"IEEE International Conference on Control and Automation, ICCA";conference and proceedings;"19483457, 19483449";"IEEE Computer Society";No;No;0,209;-;29;166;249;3468;195;247;0,78;20,89;29,31;0;14;United States;Northern America;"IEEE Computer Society";"2011, 2013-2014, 2016-2020, 2022-2024";"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering";"Computer Science; Engineering"
325;19270;"International Journal of Software Engineering and Knowledge Engineering";journal;"17936403, 02181940";"World Scientific Publishing Co. Pte Ltd";No;No;0,206;Q4;43;78;220;3209;208;213;0,99;41,14;32,77;0;3;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2025";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4)";"Computer Science"
326;21101210382;"Journal of Transportation Engineering and Information";journal;"16724747";"Southwest Jiaotong University";No;No;0,205;Q4;7;26;164;1262;122;164;0,76;48,54;30,43;0;18;China;Asiatic Region;"Southwest Jiaotong University";"2019-2024";"Artificial Intelligence (Q4); Civil and Structural Engineering (Q4); Management Science and Operations Research (Q4); Transportation (Q4)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
327;21101051699;"System Research and Information Technologies";journal;"16816048, 23088893";"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";Yes;Yes;0,203;Q4;7;41;127;955;74;127;0,69;23,29;27,27;0;6;Ukraine;Eastern Europe;"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";"2019-2024";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
328;21100294000;"Information and Control";journal;"10020411";"Science Press";No;No;0,202;Q4;14;62;218;2393;242;218;1,12;38,60;32,26;0;8;China;Asiatic Region;"Science Press";"2013-2024";"Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Information Systems (Q4)";"Computer Science; Engineering; Mathematics"
329;11700154336;"Journal of Computer Science";journal;"15493636";"Science Publications";Yes;No;0,200;Q4;38;157;318;5672;348;318;0,94;36,13;36,53;0;46;United States;Northern America;"Science Publications";"2008-2025";"Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4)";"Computer Science"
330;21100797240;"ASEE Annual Conference and Exposition, Conference Proceedings";conference and proceedings;"21535965";"American Society for Engineering Education";No;No;0,200;-;43;2162;5640;48392;2390;5637;0,42;22,38;48,70;0;769;United States;Northern America;"American Society for Engineering Education";"2005-2024";"Artificial Intelligence; Computational Theory and Mathematics; Engineering (miscellaneous); Information Systems; Software";"Computer Science; Engineering"
331;19600166036;"International Journal of Artificial Intelligence";journal;"09740635";"Centre for Environment and Socio-Economic Research Publications";No;No;0,197;Q4;33;11;58;340;38;58;0,66;30,91;30,43;0;0;India;Asiatic Region;"Centre for Environment and Socio-Economic Research Publications";"2009-2025";"Artificial Intelligence (Q4)";"Computer Science"
332;21100440516;"International Journal of Computer Information Systems and Industrial Management Applications";journal;"21507988";"";Yes;No;0,197;Q4;13;46;123;1833;121;123;1,12;39,85;42,02;0;18;United States;Northern America;"";"2015-2025";"Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Information Systems (Q4); Management Information Systems (Q4); Signal Processing (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science"
333;21101037310;"Register: Jurnal Ilmiah Teknologi Sistem Informasi";journal;"25023357, 25030477";"Universitas Pesantren Tinggi Darul Ulum";No;No;0,197;Q4;9;14;41;478;58;41;1,37;34,14;26,32;0;2;Indonesia;Asiatic Region;"Universitas Pesantren Tinggi Darul Ulum";"2015-2024";"Information Systems and Management (Q3); Artificial Intelligence (Q4); Computer Science (miscellaneous) (Q4); Decision Sciences (miscellaneous) (Q4); Information Systems (Q4)";"Computer Science; Decision Sciences"
